#NAME?,,,,,,,,,,,,,,,,,,
Dataset: Aquaculture production,,,,,,,,,,,,,,,,,,
Species,,,,TOTAL SPECIES,,,,,,,,,,,,,,
Measure,,,,US Dollar,,,,,,,,,,,,,,
Year,,,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Country,,Unit,,,,,,,,,,,,,,,,
Australia,,US Dollar,i,"316,113,680","398,932,010","507,826,990","559,758,010","595,047,330","705,717,270","824,199,190","944,587,110","885,925,400","819,024,530","788,187,690","854,660,040","920,409,120","989,407,130","886,002,460"
Austria,,US Dollar,,"10,913,800","15,698,700","15,956,500","18,740,000","19,357,000","26,985,900","23,528,250","23,002,080","24,499,790","26,797,880","22,436,990","24,874,790","28,606,750","31,192,070","31,717,220"
Belgium,,US Dollar,i,"1,309,500","736,650","784,830","981,680","3,786,740","4,452,660","646,200","2,811,500","1,339,850","1,351,740","599,140","487,040","774,400","993,630","602,680"
Canada,,US Dollar,i,"583,889,140","797,615,920","703,915,940","750,477,120","702,840,960","892,870,460","846,689,850","866,081,790","921,902,630","685,914,500","756,513,200","1,017,431,040","1,074,214,670","1,091,770,990","928,566,300"
Chile,,US Dollar,i,"3,241,068,260","4,411,164,890","4,909,122,060","4,549,519,870","4,782,733,000","3,769,116,560","6,339,611,480","6,002,558,790","7,552,968,170","10,309,181,290","6,863,402,900","7,901,136,500","10,412,179,860","10,498,981,540","10,958,000,400"
Colombia,,US Dollar,i,"281,800,000","317,027,900","297,920,200","293,200,000","339,327,500","261,782,100","262,340,740","285,482,200","281,754,100","291,057,000","256,616,900","247,792,010","288,389,850","390,666,790","479,714,600"
Costa Rica,,US Dollar,i,"80,784,100","70,636,200","83,572,600","86,790,200","104,227,500","127,487,600","138,649,600","137,620,300","151,413,900","127,951,300","112,460,900","111,161,000","105,883,000","110,354,000","110,743,000"
Czech Republic,,US Dollar,i,"43,911,820","44,593,400","49,724,620","61,093,720","55,037,670","53,483,160","61,680,510","53,591,540","49,565,710","50,087,980","42,134,090","44,014,390","48,787,180","53,635,720","46,747,860"
Denmark,,US Dollar,,"122,764,730","130,501,090","108,452,640","128,776,800","123,208,130","133,078,270","148,304,730","117,006,300","145,370,980","137,438,320","130,629,530","136,436,910","142,432,030","138,936,390","144,541,930"
Estonia,,US Dollar,i,"2,639,600","3,480,730","4,380,930","4,210,680","3,115,580","2,688,640","2,183,060","3,120,290","3,725,760","4,694,610","3,772,430","4,294,460","4,202,660","4,953,770","8,148,180"
Finland,,US Dollar,i,"50,780,460","52,499,850","53,194,280","54,746,490","56,096,200","55,148,530","60,000,490","49,209,260","64,758,580","66,265,150","54,766,370","69,375,560","81,366,160","76,726,760","69,998,570"
France,,US Dollar,i,"672,785,780","651,410,970","754,051,700","1,016,885,330","960,067,950","884,983,880","959,929,740","901,339,530","920,706,580","833,307,220","687,577,320","797,725,820","865,242,320","812,876,690","857,943,000"
Germany,,US Dollar,i,"158,188,660","155,443,940","191,126,290","142,683,940","127,603,510","125,485,230","119,673,450","94,607,010","103,444,220","112,928,530","88,958,690","108,945,000","117,704,650","135,518,720","137,912,350"
Greece,,US Dollar,i,"429,248,090","466,288,740","533,774,690","546,416,380","556,216,710","587,256,860","660,237,740","573,367,900","578,319,910","590,127,310","527,363,790","582,940,520","615,686,240","635,439,200","572,550,770"
Hungary,,US Dollar,i,"32,709,420","32,791,070","40,574,890","45,818,220","37,848,800","37,145,310","41,949,370","39,278,790","34,691,540","39,036,430","33,991,010","34,890,050","43,733,560","45,339,220","40,359,750"
Iceland,,US Dollar,,"34,640,000","38,595,500","25,020,000","30,158,300","26,620,300","27,890,300","39,774,300","45,200,500","51,163,200","61,721,400","47,710,700","89,555,400","144,842,000","113,975,600","192,302,690"
Ireland,,US Dollar,,"132,214,770","149,094,790","162,028,600","133,971,660","141,163,740","150,044,170","173,679,500","163,562,380","152,281,060","155,321,550","159,225,230","170,978,800","220,100,860","205,656,320","190,500,350"
Israel,,US Dollar,i,"72,651,210","79,386,120","78,984,540","81,535,700","68,799,510","81,480,470","92,756,810","90,390,260","102,847,060","99,222,140","81,919,050","88,189,280","90,316,740","83,153,790","88,731,640"
Italy,,US Dollar,i,"593,819,550","598,729,280","765,887,090","556,484,440","664,011,050","441,626,730","561,073,220","447,188,510","521,859,450","486,218,090","406,381,930","452,858,120","462,181,750","529,860,400","503,719,840"
Japan,,US Dollar,i,"4,269,730,530","4,133,684,260","4,108,431,520","4,450,365,630","4,843,610,040","5,328,054,840","5,507,214,440","5,812,013,920","4,654,454,780","4,700,460,570","4,537,231,200","5,322,738,320","5,294,542,270","5,296,620,460","5,149,620,380"
